网站名,类别,商家名称,地址,人均消费,缩略图,评分
美团,美食,蘑菇寿司（百大新纪元店）,五华区三市街柏联广场负一楼（百盛超市入口旁）,38,https://img.meituan.net/600.600/msmerchant/181b2c69db8e7db6bd0e689f0e96d40c427388.jpg,5
美团,美食,洪沙瓦迪东南亚风情餐厅,五华区护国街道南强步行街与鼎新街交叉口祥云美食城南门对面,73,https://img.meituan.net/600.600/msmerchant/45b0d3c4bc7736b9f2221bf9b0ab9b3549519.jpg,4.3
美团,美食,云南少数民族版纳风味小吃,五华区祥云街祥云美食城1楼,35,http://p0.meituan.net/600.600/deal/91115798525b2a6286518a18904b9865121338.jpg,3
美团,美食,CRAZYONES克芮旺斯西班牙海鲜饭（南强店）,五华区南强街12号,87,https://img.meituan.net/600.600/msmerchant/fc2bb7d31a5282beca0221c067c1f242550667.jpg,4.4
美团,美食,霸王茶姬（南强街店）,五华区南强步行街南强街85号,21,http://p1.meituan.net/600.600/mogu/540ea781382dce286c85dce6c28cfe0887538.jpg,4.3
美团,美食,经年建水风味便当（南屏街店）,五华区宝善街南屏时代大厦11楼1111号,48,http://p0.meituan.net/600.600/mogu/df75d399f84c2d16da248fe1c961ccbe109434.jpg,4.5
美团,美食,哈根达斯（昆明昆百大店）,五华区东风西路99号百大新天地一层,90,https://img.meituan.net/600.600/msmerchant/1cbb6765cc67d45e79fab5bbf31806fc4079307.jpg,4
美团,美食,祥云荟馆庭院餐厅（祥云街店）,五华区祥云街43号,59,http://p1.meituan.net/600.600/deal/ee1cfec424b0bad624becf49337beef3297930.jpg,4
美团,美食,耀华力泰国菜（柏联广场店）,五华区三市街6号柏联广场5层,85,http://p1.meituan.net/600.600/apiback/4ce64ed8e060e9893902e85b4b2748cd104836.jpg,3.9
美团,美食,老鬼鸡汤饭（祥云美食城）,五华区宝善街祥云美食城76号,11,http://p0.meituan.net/600.600/poi/340e48f23cb98a568bef6a46dc7cbf9a104448.jpg,3.1
美团,美食,云一山味OTO体验店（柏联广场店）,五华区三市街柏联广场负一楼百盛超市内生鲜区,30,http://p1.meituan.net/600.600/mogu/d96ad4dfc1cce251b90e3c6f3197f9c9265199.jpg,4.5
美团,美食,贡茶（祥云店）,五华区护国街道鼎新街4号对面祥云美食城外围东南角,13,http://p1.meituan.net/600.600/mogu/37d1b0cbf7fa520de53b3fd7160168b965378.jpg,4.7
美团,美食,57号花园餐厅,五华区宝善街57号五楼,79,http://p1.meituan.net/600.600/apiback/f0a0e1f458cc0ecd2da4c1107af0fedb111641.jpg,5
美团,美食,艾雅骨头王小火锅（昆明百大店）,五华区东风西路99号百大新天地负2楼（近步行街）,47,http://p1.meituan.net/600.600/mogu/c646c9da38f171191f61fbcc481099e388034.jpg,3.8
美团,美食,疯狂烤猪蹄（祥云美食城店）,五华区祥云街祥云美食城西门口,15,http://p1.meituan.net/600.600/deal/15954fc1d91b85c08400b42bdcce1a6795382.jpg,4.4
美团,美食,云林制茶,五华区祥云街68号,16,http://p1.meituan.net/600.600/mogu/2371c866b92997a95f3dc6b7fbff78a695411.jpg,4.7
美团,美食,哈鲜族（祥云店）,五华区祥云街祥云美食城一楼A-86号,22,http://p1.meituan.net/600.600/poi/aa8577ba8d7153e9da97dd3b47506d3371680.jpg,3.5
美团,美食,蒸好吃（兴华店）,五华区兴华街64号（一心堂旁）,21,http://p0.meituan.net/600.600/mogu/7f0c034a4fc812f07f2ade04e0f11925383760.jpg,3.9
美团,美食,广东海鲜粥王,五华区宝善街祥云商场3-B15号,20,http://p1.meituan.net/600.600/deal/c5fafbbe741f47e8261fafc56a20d61168237.jpg,3.9
美团,美食,一菜一格经典川菜（百大新天地店）,五华区东风西路2号百大新天地5层,48,http://p1.meituan.net/600.600/mogu/bca99601aff25ef956d08b1224911b34299104.jpg,3.4
美团,美食,面仆小馆（宝善街店）,五华区宝善街银三角A座201号一楼,17,http://p0.meituan.net/600.600/deal/2c990e991ce4c6dee215c10b411bc42a1218762.jpg,3.7
美团,美食,川魂冒牌货冒菜（祥云店）,五华区护国街道鼎新街南强步行街北（祥云美食城东门）,29,http://p0.meituan.net/600.600/mogu/f8cda21d125ba7b687073c5750967b9a48159.jpg,4.2
美团,美食,香满园铜锅洋芋饭,五华区宝善街祥云美食城1楼A77号（近东北水饺）,17,http://p1.meituan.net/600.600/deal/c5fafbbe741f47e8261fafc56a20d61168237.jpg,3.3
美团,美食,哈鲜族（百大店）,五华区东风西路1号百大新纪元一层外围,19,http://p0.meituan.net/600.600/mogu/b7953290baa01208289859d7cc6488d720929.jpg,3.3
美团,美食,芙蓉树下冒菜（祥云美食城店）,五华区宝善街祥云美食城A-57号,16,http://p0.meituan.net/600.600/deal/8da727fde51b15034b706f9cb0bca00098212.jpg,3.6
美团,美食,麦当劳（金碧辉煌店）,五华区三市街89号金碧辉煌大厦首层,26,https://img.meituan.net/600.600/msmerchant/9b65a8277a30690f90c99bbedcd56f63228922.jpg,4
美团,美食,再聚首重庆自助火锅,五华区宝善街祥云美食城二楼（西门）,38,http://p1.meituan.net/600.600/mogu/421983d0f4ab1a8da585914b3474bc43188747.jpg,4.2
美团,美食,摩提工房（柏联店）,五华区柏联广场百盛商场负一楼下行电梯口（小天鹅旁边）,13,http://p1.meituan.net/600.600/deal/f4dbc5d6772248bb3650b42f90cb9740207697.jpg,3.5
美团,美食,春庄,五华区南强街巷4号,82,http://p1.meituan.net/600.600/deal/afaf83bbc2e8cfc785cc51724dfbd50e53688.jpg,3.7
美团,美食,米兜紫米露（宝善街店）,五华区宝善街220号（华尔贝大厦旁）,8,http://p0.meituan.net/600.600/deal/098b1eda650f2eae263fc10d7205976b106418.jpg,4.1
美团,美食,成记,五华区三市街柏联广场6楼,61,http://p1.meituan.net/600.600/mogu/fae8e95d537d411882368e0e211c7f7b16238.jpg,3
美团,美食,石磨传奇.豆花鸡（祥云街店）,五华区祥云街101号（金碧公园）,45,http://p0.meituan.net/600.600/deal/80db6360a9a7ef59734b4c17975f441f309414.jpg,4
美团,美食,大赤门国际美食自助餐厅（柏联广场店）,五华区三市街6号柏联广场6层,185,http://p0.meituan.net/600.600/mogu/a797204ad1a7ce074a4d5f035a12015c32767.png,3.2
美团,美食,野菌王火锅（五华区店）,五华区祥云街101号（祥云火锅城2楼）,57,http://p0.meituan.net/600.600/mogu/a84b604d6eed63993f40436227b9b7f5190289.jpg,3.4
美团,美食,奉茶（顺城店）,五华区南通街与顺城街交叉口西50米,15,http://p1.meituan.net/600.600/mogu/cf009e4b8a65cc00bbca47e198e8c8e580306.jpg,4.2
美团,美食,奶盖贡茶（漾漾好）百大新天地店,五华区护国街道正义路步行街昆明百大新天地负1楼01-b15号,17,http://p1.meituan.net/600.600/mogu/c7b68c091a15f9c5032c6947e4a307f433047.jpg,4.4
美团,美食,云和祥,五华区祥云街36号祥云街与南强街交叉路口金碧公园内（祥云美食城斜对面）,51,http://p0.meituan.net/600.600/deal/201211/14/5_1114113941.jpg,3.5
